Solubiliti,Viscosity,y1,y2,y3,y4,y5,y6,HBA name,HBD name,SMILE HBA,SMILE HBD
-4.495847702026367,3.647055149078369,12,5,1,8,297.051750434996,102.49771618915048,Triethylmethylammonium chloride,Decanoic acid,CC[N+](C)(CC)CC.[Cl-],CCCCCCCCCC(=O)O
-5.323140621185303,2.7551887035369873,23,7,1,6,346.2480643208836,82.28122934739879,Tetrabutylphosphonium bromide,Acetic acid,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],CC(=O)O
-5.466629981994629,2.6536362171173096,20,2,1,16,323.85613994839036,34.98733009186197,Diethylammonium chloride,"2,6-xylenol",CC[NH2+]CC.[Cl-],Cc1cccc(C)c1O
-5.184624195098877,3.009906530380249,11,0,1,3,313.62555216089584,243.18539717343737,Tetramethylammonium chloride,Ethylenecyanohydrin,C[N+](C)(C)C.[Cl-],N#CCCO
-5.121157169342041,3.205085515975952,22,25,1,10,309.3909823630416,209.87705072392282,Tetrapropylammonium chloride,diethanolamine,CCC[N+](CCC)(CCC)CCC.[Cl-],OCCNCCO
-4.895742893218994,3.381852149963379,20,6,1,3,300.6641732293116,172.03714346458716,Diethylammonium chloride,Ethylene glycol,CC[NH2+]CC.[Cl-],OCCO
-4.417126655578613,4.68980598449707,20,11,1,3,305.7202511988515,176.6322464655361,Diethylammonium chloride,Levulinic acid,CC[NH2+]CC.[Cl-],CC(=O)CCC(=O)O
-4.581961154937744,4.058190822601318,1,25,1,1,315.39794699172046,128.59021665299107,Acetylcholine chloride,diethanolamine,CC(=O)OCC[N+](C)(C)C.[Cl-],OCCNCCO
-5.516301155090332,2.8147826194763184,20,11,1,7,329.94435400928256,57.24958677386216,Diethylammonium chloride,Levulinic acid,CC[NH2+]CC.[Cl-],CC(=O)CCC(=O)O
-5.613704204559326,2.680385112762451,20,14,1,4,329.94082328147044,102.77848144445903,Diethylammonium chloride,Methyldiethanol amine,CC[NH2+]CC.[Cl-],CN(CCO)CCO
-5.1931304931640625,3.1772828102111816,17,24,1,7,309.4580579006289,74.30358607876329,Tetraethylammonium bromide,"1,2-butanediol",CC[N+](CC)(CC)CC.[Br-],CCC(O)CO
-5.102592468261719,3.6463623046875,22,2,1,6,302.9852490071731,39.317907315238834,Tetrapropylammonium chloride,"2,6-xylenol",CCC[N+](CCC)(CCC)CCC.[Cl-],Cc1cccc(C)c1O
-4.545582294464111,5.240389347076416,0,1,1,2,325.087764179005,55.99515095575235,Allyltriphenylphosphonium bromide,"1,2,4-triazole",C=CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],c1nc[nH]n1
-4.429477691650391,6.575092315673828,24,22,1,1,308.7656536105606,115.51623565320052,Allyltriphenylphosphonium bromide,"1,2-propanediol",C=CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],CC(O)CO
-4.5127973556518555,5.493224620819092,9,4,1,1,319.85875644724246,192.7423392389021,Tetrabutylammonium chloride,Imidazole,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],c1c[nH]cn1
-4.512996196746826,5.3381476402282715,8,4,1,2,306.92540002330713,141.88495278632297,Tetrabutylammonium bromide,Imidazole,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],c1c[nH]cn1
-4.596897602081299,4.320784091949463,15,2,1,11,317.8133278642436,82.41749996744811,Trioctylmethylammonium bromide,"2,6-xylenol",CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Br-],Cc1cccc(C)c1O
-4.618184566497803,4.070179462432861,24,12,1,8,297.6376799220132,101.58717787060812,Allyltriphenylphosphonium bromide,Ethanolamine,C=CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],NCCO
-5.917768955230713,2.7932257652282715,11,6,1,1,335.420470786847,65.52138137424502,Tetramethylammonium chloride,Ethylene glycol,C[N+](C)(C)C.[Cl-],OCCO
-6.166604995727539,2.69580340385437,3,20,1,3,344.3009259145957,168.66348474867272,Choline chloride,"1,4-butanediol",C[N+](C)(C)CCO.[Cl-],OCCCCO
-5.716207027435303,3.173288345336914,20,24,1,9,307.2413818976952,35.01605269779926,Diethylammonium chloride,"1,2-butanediol",CC[NH2+]CC.[Cl-],CCC(O)CO
-5.419954776763916,3.6477699279785156,7,0,1,1,331.4181419639795,124.38666131914604,Benzyltrimethylammonium chloride,Ethylenecyanohydrin,C[N+](C)(C)Cc1ccccc1.[Cl-],N#CCCO
-5.362640857696533,3.71838641166687,13,4,1,5,308.5258187988217,103.76827662769895,Guanidinium chloride,Imidazole,[Cl-].N=C(N)[NH3+],c1c[nH]cn1
-4.6532673835754395,4.211031913757324,6,7,1,10,302.77252099027646,99.70775171409753,Benzyltriethylammonium chloride,Acetic acid,CC[N+](CC)(CC)Cc1ccccc1.[Cl-],CC(=O)O
-4.631106853485107,5.966725826263428,4,14,1,1,310.0933435518814,47.29945499118496,Tetraoctylammonium chloride,Methyldiethanol amine,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Cl-],CN(CCO)CCO
-5.090869903564453,4.089921951293945,6,2,1,3,321.13477422613175,235.37315120489308,Benzyltriethylammonium chloride,"2,6-xylenol",CC[N+](CC)(CC)Cc1ccccc1.[Cl-],Cc1cccc(C)c1O
-5.012386322021484,4.091387748718262,1,3,1,15,324.6260858043961,84.6619035415414,Acetylcholine chloride,Urea,CC(=O)OCC[N+](C)(C)C.[Cl-],NC(N)=O
-7.689110279083252,2.697232723236084,16,22,1,4,341.7421712246442,130.24753195459107,"N-Benzyl-2-hydroxy-N,N-dimethyl ethanaminium chloride","1,2-propanediol",C[N+](C)(CCO)CC1=CC=CC=C1.[Cl-],CC(O)CO
-5.823140621185303,3.187521457672119,6,24,1,11,330.31295643716044,37.6569203935131,Benzyltriethylammonium chloride,"1,2-butanediol",CC[N+](CC)(CC)Cc1ccccc1.[Cl-],CCC(O)CO
-5.492345333099365,3.8487541675567627,21,15,1,1,344.8573393351778,186.1549248050553,Betain,Hexanoic acid,C[N+](C)(C)CC(=O)[O-],CCCCCC(=O)O
-5.657052040100098,3.729255199432373,16,23,1,8,309.9450123189416,123.27858899681199,"N-Benzyl-2-hydroxy-N,N-dimethyl ethanaminium chloride",Guaiacol,C[N+](C)(CCO)CC1=CC=CC=C1.[Cl-],COc1ccccc1O
-4.797243118286133,4.574863433837891,5,8,1,12,344.6099246821521,118.31986856117899,Tetraoctylammonium bromide,Glycerol,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],OCC(O)CO
-5.464086055755615,4.261081695556641,7,19,1,4,312.875572971289,55.04552901842571,Benzyltrimethylammonium chloride,Octanoic acid,C[N+](C)(C)Cc1ccccc1.[Cl-],CCCCCCCC(=O)O
-6.555638790130615,3.5392982959747314,6,25,1,5,325.5928966158299,173.29580418548733,Benzyltriethylammonium chloride,diethanolamine,CC[N+](CC)(CC)Cc1ccccc1.[Cl-],OCCNCCO
-6.173886775970459,3.7897753715515137,19,9,1,11,305.8101897532855,47.3629182756769,Methyltriphenylphosphonium bromide,Phenol,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],Oc1ccccc1
-5.050179481506348,4.670543670654297,13,10,1,3,307.1290006988356,207.76637433584386,Guanidinium chloride,Lactic acid,[Cl-].N=C(N)[NH3+],CC(O)C(=O)O
-4.81290864944458,5.695710182189941,0,7,1,1,314.97311049676387,84.61736596637152,Allyltriphenylphosphonium bromide,Acetic acid,C=CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],CC(=O)O
-5.754654884338379,4.445655345916748,17,8,1,16,312.40431242320716,61.789210337625235,Tetraethylammonium bromide,Glycerol,CC[N+](CC)(CC)CC.[Br-],OCC(O)CO
-5.508372783660889,4.614027500152588,14,6,1,2,303.8350674431623,178.77697774921307,Trioctylmethylammonium chloride,Ethylene glycol,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],OCCO
-7.8179612159729,3.8667750358581543,18,21,1,2,294.1441449988536,122.1139480441021,Menthol,"2,3-butanediol",CC1CCC(C(C)C)C(O)C1,CC(O)C(C)O
-6.232628345489502,3.9967174530029297,2,3,1,8,318.99694826950184,206.80643296625937,Thymol,Urea,Cc1ccc(C(C)C)c(O)c1,NC(N)=O
-5.269233226776123,6.220933437347412,14,8,1,14,304.6489391405742,32.477871868147744,Trioctylmethylammonium chloride,Glycerol,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],OCC(O)CO
-6.18819522857666,4.6429266929626465,14,11,1,1,347.8451604435951,67.53544294792748,Trioctylmethylammonium chloride,Levulinic acid,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],CC(=O)CCC(=O)O
-5.670849800109863,4.821512699127197,14,7,1,2,302.82588889725395,44.39128263226712,Trioctylmethylammonium chloride,Acetic acid,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],CC(=O)O
-5.6205668449401855,5.587731838226318,12,8,1,16,293.43516745256926,172.98515353467204,Triethylmethylammonium chloride,Glycerol,CC[N+](C)(CC)CC.[Cl-],OCC(O)CO
-6.308764934539795,4.357243061065674,21,9,1,1,339.7163628231068,87.04415026887625,Betain,Phenol,C[N+](C)(C)CC(=O)[O-],Oc1ccccc1
